"venue","update date","vintage","size","price","wine name"
"Green Acres","2023-11-02","2020","-","42","Gruner Veltliner Federspiel "Loibner", Weingut Knoll, Wachau, €"
"Green Acres","2023-11-02","2020","-","45","Riesling "Loibner", Weingut Knoll, Wachau, €"
"Green Acres","2023-11-02","2014","-","58","Riesling "Steinmassel", Weingut Brundlmayer, Kamptal, €"
"Green Acres","2023-11-02","2019","-","60","Gruner Veltliner “Alte Reben”, Weingut Brundlmayer, Kamptal, €"
"Green Acres","2023-11-02","2017","-","75","Gruner Veltliner “Kaferberg”, Weingut Brundlmayer, Kamptal, €"
"Green Acres","2023-11-02","2012","-","60","Chardonnay, Weingut Brundlmayer, Kamptal, €"
"Green Acres","2023-11-02","2018","-","85","Gruner Veltliner 1Er Cru "Lamm", Weingut Brundlmayer, €"
"Green Acres","2023-11-02","2018","-","45","Dry Furmint ‘Mandolas’, Oremus-Vega Sicilia, €"
"Green Acres","2023-11-02","2022","-","32","Glenwood Un-Oaked Chardonnay, Franschoek, South Africa, €"
"Green Acres","2023-11-02","2021","-","38","Catherine Marshall Sauvignon Blanc, Elgin, South Africa, €"
"Green Acres","2023-11-02","2017","-","40","Carmen "Quijada" Semillon, Colchagua, Chile, €"
"Green Acres","2023-11-02","2020","-","42","Ken Forrester "Terre Noire" Chenin Blanc, Swartland, South Africa, €"
"Green Acres","2023-11-02","2017","-","46","Forge Cellars Dry Riesling "Classique", Seneca Lake, New York State, U.S.A, €"
"Green Acres","2023-11-02","2016","-","45","Spioenkop Elgin Riesling, South Africa, €"
"Green Acres","2023-11-02","2018","-","49","Sarah Raal Chenin Blanc, Spioenkop, Elgin Valley, South Africa, €"
"Green Acres","2023-11-02","2021","-","55","Cloudy Bay Sauvignon Blanc, Marlborough, New Zealand, €"
"Green Acres","2023-11-02","2016","-","80","Grand Duc Chardonnay, Glenwood Estate, Elgin Valley, South Africa, €"
"Green Acres","2023-11-02","2021","750","20","Gruner Veltliner "Terrassen", Weingut Brundlmayer, Kamptal Austria, €"
"Green Acres","2023-11-02","2020","750","23","Sancerre, Paul Vattan, Loire, France, €"
"Green Acres","2023-11-02","2019","750","23","Pouilly Fume, Jean-Claude Dagueneau, Loire, France, €"
"Green Acres","2023-11-02","2018","750","25","Chablis, Domaine Pinson, Burgundy, France, €"
"Green Acres","2023-11-02","NV","750","40","1, 2 Champagne Lenoble Brut ‘Intense’, France, €"
"Green Acres","2023-11-02","2020","750","33","Rosato "Aurora", Poggerino, Tuscany, Italy, €"
"Green Acres","2023-11-02","2021","750","48","Bandol Rose, Domaine Du Gros Nore, Provence, France, €"
"Green Acres","2023-11-02","-","-","60","Parisy Vin De Table, E. Reynaud, Rhone, France, €"
"Green Acres","2023-11-02","2017","-","44","Esprit De Pavie, (Chateau Pavie ) Grand Vin De Bordeaux, €"
"Green Acres","2023-11-02","2014","-","45","Chateau Teyssier, Saint-Emilion Grand Cru, €"
"Green Acres","2023-11-02","2019","-","48","Chateau Grand Village, Bordeaux Superieur, (Jaques Guinaudeau, Lafleur), €"
"Green Acres","2023-11-02","2018","-","48","Saintem, Denis Durantou, Saint-Emilion Grand Cru, €"
"Green Acres","2023-11-02","2014","-","55","Chateau De Dauphine, Fronsac, €"
"Green Acres","2023-11-02","2017","-","58","Chateau Montlandrie, Denis Durantou, Castillion Cotes De Bordeaux, €"
"Green Acres","2023-11-02","2015","-","65","G Acte 7, Bordeaux Superieur (Jaques Guinaudeau, Lafleur), €"
"Green Acres","2023-11-02","2018","-","68","Chateau Les Cruzelles, Denis Durantou, Lalande De Pomerol, €"
"Green Acres","2023-11-02","2016","-","75","Haut Roc Blanquant, Saint-Emilion Grand Cru, €"
"Green Acres","2023-11-02","2004","-","75","Chateau Quinault L'Enclos, Saint-Emilion Grand Cru, €"
"Green Acres","2023-11-02","2017","-","78","Chateau Lagrange A Pomerol, Pomerol, €"
"Green Acres","2023-11-02","2014","-","80","L'Hospitalet De Gazin, Pomerol, €"
"Green Acres","2023-11-02","2015","-","80","Chateau Plince, Pomerol, €"
"Green Acres","2023-11-02","2006","-","85","Chateau La Serre, Saint-Emilion Grand Cru, €"
"Green Acres","2023-11-02","2004","-","85","Chateau Nenin, Pomerol, €"
"Green Acres","2023-11-02","2015","-","85","Le Dragon De Quintus, Saint-Emilion Grand Cru, €"
"Green Acres","2023-11-02","2016","-","100","Annonce Belair-Monange, Saint Emilion Grand Cru, €"
"Green Acres","2023-11-02","2000","-","125","Chateau La Dominique, Saint-Emilion Grand Cru Classe, €"
"Green Acres","2023-11-02","2015","-","125","Chateau Lafleur-Gazin, Jean-Pierre Moueix, Pomerol, €"
"Green Acres","2023-11-02","2004","-","125","Chateau Beau-Sejour-Becot, Saint-Emilion Grand Cru Classe, €"
"Green Acres","2023-11-02","2019","-","125","Les Perrieres, Bordeaux Superieur (Jaques Guinaudeau, Lafleur), €"
"Green Acres","2023-11-02","2015","-","150","Chateau Latour A Pomerol, Pomerol, €"
"Green Acres","2023-11-02","2006","-","150","Providence, Jean-Pierre Moueix, Pomerol, €"
"Green Acres","2023-11-02","2000","-","220","Chateau Certan De May, Pomerol, €"
"Green Acres","2023-11-02","2000","-","275","Chateau Hossana, Jean-Pierre Moueix, Pomerol, €"
"Green Acres","2023-11-02","2016","-","395","Chateau-Figeac, Saint-Emilion Grand Cru Classe, €"
"Green Acres","2023-11-02","2015","-","40","La Closerie De Camensac, Haut Medoc, €"
"Green Acres","2023-11-02","2017","-","50","Chateau Beaumont, Haut Medoc, €"
"Green Acres","2023-11-02","2010","-","55","Chateau D'Agassac, Cru Bourgeois, Haut- Medoc, €"
"Green Acres","2023-11-02","2017","-","59","Chateau Capbern, Saint-Estephe, €"
"Green Acres","2023-11-02","2015","-","60","Les Fiefs De Lagrange, Saint Julien, €"
"Green Acres","2023-11-02","2017","-","65","La Dame D'Angludet, Margaux, €"
"Green Acres","2023-11-02","2015","-","68","Les Hauts Du Tertre, Margaux, €"
"Green Acres","2023-11-02","2015","-","68","Duluc De Branaire-Ducru, Saint-Julien, €"
"Green Acres","2023-11-02","2015","-","68","Chateau Potensac, Medoc, €"
"Green Acres","2023-11-02","2015","-","70","Lacoste-Borie, Pauillac, €"
"Green Acres","2023-11-02","2014","-","70","Goulee By Cos D'Estournel, Medoc, €"
"Green Acres","2023-11-02","2001","-","75","Chateau De Pez, Saint-Estephe, €"
"Green Acres","2023-11-02","2015","-","75","La Reserve De Leoville Barton, St Julien, €"
"Green Acres","2023-11-02","2016","-","85","Chateau Cantemerle, 5Eme Cru Classe, Haut- Medoc, €"
"Green Acres","2023-11-02","2016","-","85","Chateau Poujeaux, Moulis En Medoc, €"
"Green Acres","2023-11-02","2010","-","95","Chateau Moulin Riche, St Julien, €"
"Green Acres","2023-11-02","2017","-","95","Chateau Gloria, Saint Julien, €"
"Green Acres","2023-11-02","2015","-","100","Chateau Pedesclaux, 5Eme Cru Classe, Pauillac, €"
"Green Acres","2023-11-02","2005","-","100","Chateau Sociandot Mallet, Haut -Medoc, €"
"Green Acres","2023-11-02","2015","-","115","Chateau Lagrange, 3Eme Cru Classe, Saint-Julien, €"
"Green Acres","2023-11-02","2015","-","125","Chateau Langoa-Barton, 4Eme Cru Classe, Saint-Julien, €"
"Green Acres","2023-11-02","2016","-","145","Chateau Malescot Saint Exupery, 3Eme Cru Classe, Margaux, €"
"Green Acres","2023-11-02","2015","-","165","Chateau Duhart-Milon Rothschild, 4Eme Cru Classe, Pauillac, €"
"Green Acres","2023-11-02","2014","-","180","Chateau Leoville-Barton, 2Eme Cru Classe, St Julien, €"
