"venue","update date","vintage","size","price","wine name"
"Fool","2023-11-02","2019","-","150","Marc Soyard, Bourgogne Blanc, Burgundy, France"
"Fool","2023-11-02","2020","-","160","Bachelet-Monnot, Bourgogne Côte D'Or Blanc, Burgundy, France"
"Fool","2023-11-02","2020","-","210","Petit-Roy, Savigny-Lès-Beaune Blanc, Burgundy, France"
"Fool","2023-11-02","2020","-","210","Fontaine-Gagnard, Chassagne-Montrachet, Burgundy, France"
"Fool","2023-11-02","2021","-","220","Jessica Litaud, Pouilly-Fuissé 1Er Cru "La Maréchaude", Burgundy, France"
"Fool","2023-11-02","2017","-","145","François De Nicolay, Coteaux De Champlittle, Burgundy, France"
"Fool","2023-11-02","2021","-","170","Benoit Chevallier, Bourgogne "En Lutenière", Burgundy, France"
"Fool","2023-11-02","2020","-","180","Claire Naudin, Hautes-Côtes De Beaune "Orchis Mascula", Burgundy, France"
"Fool","2023-11-02","2020","-","200","Jane Eyre, Côte De Nuits Villages, Burgundy, France"
"Fool","2023-11-02","2020","-","230","Camille Thiriet, Volnay "Les Grand Champs", Burgundy, France"
"Fool","2023-11-02","2020","-","235","Pascal Marchand-Tawse, Gevrey-Chambertin, Burgundy, France"
"Fool","2023-11-02","2018","-","260","Digioia-Royer, Chambolle-Musigny, Burgundy, France"
"Fool","2023-11-02","2018","-","160","Dominique Lafon, Bourgogne Blanc, Burgundy, France"
"Fool","2023-11-02","2017","-","260","François Carillon, Puligny-Montrachet, Burgundy, France"
"Fool","2023-11-02","2019","-","330","Pierre Morey, Meursault, Clos Le Meix Tavaux, Burgundy, France"
"Fool","2023-11-02","2016","-","400","Ramonet, Chassagne-Montrachet, Burgundy, France"
"Fool","2023-11-02","2009","-","1750","Maison Leroy, Meursault 1Er Cru, Les Perrieres, Burgundy, France"
"Fool","2023-11-02","2018","-","220","Chandon De Briailles, Savigny-Lès-Beaune 1Er Cru, Les Lavières, Burgundy, France"
"Fool","2023-11-02","2015","-","360","Nicolas Rossignol, Volnay 1Er Cru, Santenots, Burgundy, France"
"Fool","2023-11-02","2016","-","370","Claude Dugat, Gevrey-Chambertin, Burgundy, France"
"Fool","2023-11-02","2016","-","590","Comte Armand, Pommard 1Er Cru, Clos Des Epeneaux, Burgundy, France"
"Fool","2023-11-02","1986","-","810","Michel Lafarge, Volnay, Burgundy, France"
"Fool","2023-11-02","-","-","25","Burgundy’S Greatest Hits, White, Red"
"Fool","2023-11-02","2010","-","230","Château Gazin, Hospitalet De Gazin, Pomerol, Bordeaux, France"
"Fool","2023-11-02","2012","-","240","Château Montrose, La Dame De Montrose, St. Estèphe, Bordeaux, France"
"Fool","2023-11-02","2015","-","395","Château Palmer, Alter Ego De Palmer, Margaux, Bordeaux, France"
"Fool","2023-11-02","2010","-","800","Château Cheval Blanc, Le Petit Cheval, St. Émilion, Bordeaux, France"
"Fool","2023-11-02","2010","-","800","Château Margaux, Pavillon Rouge, Margaux, Bordeaux, France"
"Fool","2023-11-02","2010","-","1040","Château Lafite, Carruades De Lafite, Pauillac, Bordeaux, France"
"Fool","2023-11-02","-","-","27","The Second Wines Of Bordeaux, Red"
"Fool","2023-11-02","2017","-","145","Rings, Das Kleine Kreuz, Pfalz, Germany"
"Fool","2023-11-02","2019","-","160","Mac Forbes, Hugh Cabernets, Yarra Valley, Australia"
"Fool","2023-11-02","2016","-","190","De Toren, Z, Stellenbosch, South Africa"
"Fool","2023-11-02","2013","-","205","Movia, Veliko, Goriška Brda, Slovenia"
"Fool","2023-11-02","2016","-","220","Babich, The Patriarch, Hawkes Bay, New Zealand"
"Fool","2023-11-02","2012","-","270","Parker, First Growth, Coonawarra, Australia"
"Fool","2023-11-02","2010","-","395","Clos Apalta, Clos Apalta, Colchagua Valley, Chile"
"Fool","2023-11-02","2022","-","125","Smith & Sheth, Cru, Marlborough, New Zealand"
"Fool","2023-11-02","2021","-","140","Shaw & Smith, M3, Adelaide Hills, Australia"
"Fool","2023-11-02","2020","-","150","Moorooduc Estate, Robinson Chardonnay, Mornington Peninsula, Australia"
"Fool","2023-11-02","2018","-","165","Ahearne, Pošip, Korčula, Croatia"
"Fool","2023-11-02","2018","-","240","Zind-Humbrecht, Pinot Gris Clos Windsbuhl, Alsace, France"
"Fool","2023-11-02","2019","-","150","Golden Amrita, Single Estate Shiraz, Barossa Valley, Australia"
"Fool","2023-11-02","2020","-","160","Thistledown, Vagabond Grenache, Mclaren Vale, Australia"
"Fool","2023-11-02","2020","-","180","Pyramid Valley, Pinot Noir, Central Otago, New Zealand"
"Fool","2023-11-02","-","-","29","Jack Of All Trades, A Master Of Wine, White, Red"
"Fool","2023-11-02","2020","-","190","Château Simone, Palette Blanc, Provence, France"
"Fool","2023-11-02","2021","-","240","Mas De Daumas Gassac, Blanc, Languedoc, France"
"Fool","2023-11-02","2006","-","290","Peyre Rose, Oro, Languedoc, France"
"Fool","2023-11-02","2020","-","190","Clos Cibonne, Cuvée Prestige Caroline, Provence, France"
"Fool","2023-11-02","2021","-","110","Domaine Giraud, Maire & Francois, Châteauneuf-Du-Pape, France"
"Fool","2023-11-02","2015","-","150","Domaine Rostaing, Puech Noble, Languedoc, France"
"Fool","2023-11-02","2018","-","170","Saint Sylvestre, Rouge, Languedoc, France"
"Fool","2023-11-02","2014","-","190","Domaine Hauvette, Cornaline, Provence, France"
"Fool","2023-11-02","2004","-","240","Clos Des Fées, Vieilles Vignes, Roussillon, France"
"Fool","2023-11-02","-","-","31","Renegades Of Southern France, White, Rosé, Red"
"Fool","2023-11-02","2004","-","-","Release In"
"Fool","2023-11-02","2004","-","195","Can Ràfols Dels Caus, Caus Lubis, Penedès, Spain"
"Fool","2023-11-02","2015","-","205","Seven Hills Winery, Seven Hills Vineyard, Walla Walla, U.S.A"
"Fool","2023-11-02","2004","-","210","Il Colle, Come Se, Tuscany, Italy"
"Fool","2023-11-02","2019","-","340","Beau Paysage, Tsugane 'La Montagne', Yamanashi, Japan"
"Fool","2023-11-02","2013","-","360","Querciabella, Palafreno, Tuscany, Italy"
"Fool","2023-11-02","-","-","33","I’M Not Drinking F, King Merlot, Red"
"Fool","2023-11-02","2021","-","105","Chionetti, Dolcetto Di Dogliani ‘Briccolero', Piedmont, Italy"
"Fool","2023-11-02","2020","-","120","Elio Sandri, Dolcetto D'Alba, Piedmont, Italy"
"Fool","2023-11-02","2021","-","130","G.D. Vajra, Dolcetto D’Alba ‘Coste & Fossati’, Piedmont, Italy"
"Fool","2023-11-02","2018","-","130","Tenuta Cucco, Dolcetto D'Alba, Piedmont, Italy"
"Fool","2023-11-02","2020","-","130","Polvanera, ‘14’ Primitivo, Puglia, Italy"
"Fool","2023-11-02","2018","-","180","Zlatan Otok, Crljenak, Dalmatia, Croatia"
"Fool","2023-11-02","2018","-","185","Clos Du Val, Zinfandal, Napa Valley, U.S.A"
"Fool","2023-11-02","2017","-","205","Seghesio, Cortina, Sonoma County, U.S.A"
"Fool","2023-11-02","2019","-","270","Testament, Tribidrag, Dalmatia, Croatia"
"Fool","2023-11-02","2016","-","170","Francesco Massetti, Mezzo Pieno, Abruzzo, Italy"
"Fool","2023-11-02","2018","-","425","Valentini, Trebbiano D’Abruzzo, Abruzzo, Italy"
"Fool","2023-11-02","2012","-","475","Emidio Pepe, Colli Aprutini, Abruzzo, Italy"
"Fool","2023-11-02","2021","-","100","Tiberio, Cerasuolo D’Abruzzo, Abruzzo, Italy"
"Fool","2023-11-02","2020","-","155","Pettinella, Tauma Rosato, Abruzzo, Italy"
"Fool","2023-11-02","2021","-","100","Francesco Cirelli, Montepulciano D’Abruzzo, Abruzzo, Italy"
"Fool","2023-11-02","2019","-","210","Pettinella, Montepulciano D’Abruzzo, Abruzzo, Italy"
"Fool","2023-11-02","2015","-","820","Valentini, Montepulciano D’Abruzzo, Abruzzo, Italy"
"Fool","2023-11-02","-","-","37","Super-Abruzzo, White, Rosé, Red"
"Fool","2023-11-02","2018","-","140","Poliziano, Vino Nobile Di Montepulciano, Tuscany, Italy"
